CaseNum,CaseName,KCC,"Architecture/PV
(kW)",Architecture/G1500,"Architecture/GenLarge
(kW)",Architecture/1kWh LI,"Cost/COE
($)",GenMin
Case1,Anchorage,dfc,67432.44130367627,28.0,,238148,0.4372389614582062,
Case1,Ashland,dfb,39799.095877151776,19.0,,83635,0.20799139142036438,
Case1,AtlantaGA,cfa,92802.98081458792,3.0,,121958,0.2526273727416992,
Case1,BangorME,dfb,62211.32412545244,20.0,,143357,0.30163973569869995,
Case1,BendOre,bsk,40050.377084811385,23.0,,93120,0.23331883549690247,
Case1,BentonCountyOregon,csb,76800.8,13.0,,136289,0.2857232093811035,
Case1,BirminghamAL,cfa,76800.8,3.0,,158615,0.2712337374687195,
Case1,BismarckND,dfb,20116.32911212833,11.0,,85380,0.155404731631279,
Case1,BlaineCountyMontana,bsk,16743.96783032557,10.0,,100934,0.16372303664684296,
Case1,BoiseID,bsk,71676.92109788267,10.0,,114577,0.2454289346933365,
Case1,BrewsterMA,dfb,26021.98213582946,12.0,,76800,0.15748262405395508,
Case1,BurlingtonVT,dfa,65693.9338541225,15.0,,176855,0.3219921290874481,
Case1,Buttonwillow,bwk,59102.87180215292,6.0,,191375,0.2950366139411926,
Case1,CarsonCityNV,bsk,77638.13422621712,15.0,,140462,0.29866161942481995,
Case1,CheyenneWY,bsk,32997.82207787779,7.0,,67025,0.13694828748703003,
Case1,Chicago,dfa,49820.900323826754,13.0,,70975,0.18440859019756317,
Case1,CoalvilleUT,dfb,65682.56566082778,11.0,,124184,0.2518736720085144,
Case1,ColumbiaMO,cfa,61157.88981996177,13.0,,81773,0.2096056342124939,
Case1,ColumbusOH,dfa,71615.77727956984,17.0,,82682,0.23851513862609863,
Case1,CrestedButteCO,dfc,87612.14200422105,6.0,,93894,0.22829432785511017,
Case1,DesMoinesIA,dfa,22763.89290624076,12.0,,84790,0.16182076930999756,
Case1,DetroitMI,dfa,41326.45377808058,13.0,,73413,0.1765219271183014,
Case1,EielsonAFB,dfc,50375.82154791907,30.0,,215543,0.4002370834350586,
Case1,Everglades,am,63326.11602300482,17.0,,76386,0.2217574268579483,
Case1,Flagstaff,dsb,56799.87842448105,13.0,,82794,0.20531904697418213,
Case1,GreatFallsMT,bsk,27633.209991984004,15.0,,74854,0.16876374185085297,
Case1,Hilo,af,49391.88199272437,14.0,,88213,0.20565414428710938,
Case1,IdahoFalls,dfb,33044.895676912754,12.0,,131497,0.22320665419101715,
Case1,JacksonMS,cfa,78584.00891505886,5.0,,142642,0.2643159031867981,
Case1,Kauai,cfb,22934.989276626635,9.0,,84794,0.15069855749607086,
Case1,KootenaiCountyID,dsb,100847.24323296623,20.0,,131487,0.33669623732566833,
Case1,LancasterPA,dfa,85421.259389123,14.0,,112519,0.2752790153026581,
Case1,LaredoTX,bsh,36625.93800314363,8.0,,95471,0.1748788058757782,
Case1,LincolnNE,dfa,22983.93861421821,10.0,,86389,0.15620191395282745,
Case1,LittleRockAR,cfa,58508.952531807925,13.0,,116934,0.2430553138256073,
Case1,Longview,csb,50423.29961663665,21.0,,207550,0.3579486906528473,
Case1,LosAlamosNM,dfb,71351.03461642875,7.0,,83934,0.20170506834983826,
Case1,MarlintonWV,cfb,86431.94759541642,8.0,,111794,0.2530876398086548,
Case1,MedfordOR,csa,117463.82951804077,3.0,,192039,0.356057733297348,
Case1,MemphisTN,cfa,44937.97060425853,16.0,,76953,0.19598692655563354,
Case1,Miami,af,33619.43390200471,4.0,,78899,0.1387687772512436,
Case1,MobileAL,cfa,81020.0056673152,3.0,,137457,0.25433436036109924,
Case1,MoscowID,csb,55114.47646892597,15.0,,130248,0.2603248357772827,
Case1,NOLA,cfa,61518.352603517924,18.0,,79039,0.22608943283557892,
Case1,NeahBay,cfb,80687.99773978288,13.0,,85525,0.23750808835029602,
Case1,OKCity,cfa,20893.513100104938,10.0,,89694,0.1570841670036316,
Case1,ORNL,cfa,77480.49237011586,3.0,,182169,0.29666370153427124,
Case1,PhoenixAZ,bwh,54576.89082001804,7.0,,75375,0.1721649169921875,
Case1,PrescottAZ,csa,43471.769417007614,14.0,,78866,0.1886288970708847,
Case1,Pueblo,bsk,44066.834628734854,12.0,,82447,0.18553835153579712,
Case1,RaleighNC,cfa,83822.57402832249,14.0,,85656,0.24527430534362793,
Case1,RapidCitySD,bsk,20468.393610182906,13.0,,92764,0.171106219291687,
Case1,ReddingCA,csa,87563.98856731632,7.0,,143649,0.2839488685131073,
Case1,RichmondVA,cfa,72013.86659385964,8.0,,149104,0.2743297219276428,
Case1,Sacramento,csa,51099.40696252187,10.0,,137812,0.2444128394126892,
Case1,SouthBendIN,dfa,37525.661711749104,13.0,,71973,0.1703510731458664,
Case1,Syracuse,dfb,74570.09523903266,13.0,,76794,0.22087785601615906,
Case1,TexasOil,bsh,24136.965264658003,8.0,,72194,0.1352395862340927,
Case1,UPMich,dfb,49409.500806554795,13.0,,71854,0.18482233583927155,
Case1,VegasNV,bwh,38677.91632339562,10.0,,80823,0.16966669261455536,
Case1,WadenaMN,dfa,21823.9569490739,11.0,,82457,0.15444998443126678,
Case1,YumaAZ,bwh,41677.967472558834,7.0,,82280,0.16353511810302734,
Case10,Anchorage,dfc,21000.218749999996,,4000,27500,0.3034750521183014,
Case10,AtlantaGA,cfa,92224.33245242311,3.0,,122493,0.2524763345718384,
Case10,BangorME,dfb,39875.82649815466,8.0,3000,33089,0.2722817361354828,
