CaseNum,Price,CaseName,KCC,"Architecture/PV
(kW)","Grid/Energy Purchased
(kWh)",Architecture/G1500,Architecture/1kWh LI,"Cost/COE
($)"
1.3MWe,12,Anchorage,dfc,76800.8,5108567.0,19,133933,0.32347726821899414
1.3MWe,12,Ashland,dfb,37469.77837435498,3765344.5,14,59708,0.17418064177036285
1.3MWe,12,AtlantaGA,cfa,86083.37026535468,6029559.5,2,70298,0.207358717918396
1.3MWe,12,BangorME,dfb,61569.33807297643,5329595.5,8,98826,0.22730132937431335
1.3MWe,12,BendOre,bsk,33742.50074467523,4773864.5,12,74259,0.18069876730442047
1.3MWe,12,BentonCountyOregon,csb,39043.008765374325,5451076.0,12,98680,0.21502362191677094
1.3MWe,12,BirminghamAL,cfa,81278.09328202806,5994782.5,3,81178,0.2164735347032547
1.3MWe,12,BismarckND,dfb,16699.923811695953,3651255.0,9,50669,0.1199510395526886
1.3MWe,12,BlaineCountyMontana,bsk,15461.13305117313,3562742.5,10,53528,0.1248936578631401
1.3MWe,12,BoiseID,bsk,46495.61791302419,5358947.5,9,74888,0.18767938017845154
1.3MWe,12,BrewsterMA,dfb,16998.989868828958,2898248.75,11,53946,0.12870968878269196
1.3MWe,12,BurlingtonVT,dfa,65053.07896613862,5468497.5,8,104960,0.2384539693593979
1.3MWe,12,Buttonwillow,bwk,48193.02271444488,5817486.5,9,90754,0.2079077661037445
1.3MWe,12,CarsonCityNV,bsk,38841.34121057606,5697901.5,10,109443,0.21929499506950378
1.3MWe,12,CheyenneWY,bsk,23766.41702370982,3386577.0,8,47698,0.12083317339420319
1.3MWe,12,Chicago,dfa,40588.64669805554,3232975.0,11,50813,0.1555662900209427
1.3MWe,12,CoalvilleUT,dfb,39108.98629875606,5370883.0,11,82137,0.19378280639648438
1.3MWe,12,ColumbiaMO,cfa,41987.571005720485,4157381.0,12,57481,0.17119479179382324
1.3MWe,12,ColumbusOH,dfa,56757.25831062589,4085816.25,13,58388,0.19381867349147797
1.3MWe,12,CrestedButteCO,dfc,54070.79864347462,5414768.0,6,61290,0.1716431826353073
1.3MWe,12,DesMoinesIA,dfa,18486.521112328057,3568869.75,10,52014,0.12703844904899597
1.3MWe,12,DetroitMI,dfa,32532.33838481215,3214067.25,12,50311,0.14885741472244263
1.3MWe,12,EielsonAFB,dfc,57721.43947465725,4654377.0,18,133158,0.29390206933021545
